phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance	
D003924	species	40520	Blautia obeum	Bacteria	386	0.581429378834197	0.250915	0.877211026278708	
D003924	species	820	Bacteroides uniformis	Bacteria	382	3.04687609277225	1.162365	4.61386109174226	
D003924	species	28116	Bacteroides ovatus	Bacteria	373	1.34379947827882	0.34106	2.92637815024725	
D003924	species	33039	[Ruminococcus] torques	Bacteria	365	1.44125056490411	0.56082	2.74504101789748	
D003924	species	818	Bacteroides thetaiotaomicron	Bacteria	364	1.53045290882418	0.50679	3.78453810696422	
D003924	species	821	Bacteroides vulgatus	Bacteria	364	3.08706265676099	1.16236	4.71659816572692	
D003924	species	562	Escherichia coli	Bacteria	362	2.6177563888232	0.2893205	8.05875494967076	
D003924	species	1304	Streptococcus salivarius	Bacteria	353	0.550376267116147	0.0818152	1.98160224140369	
D003924	species	357276	Bacteroides dorei	Bacteria	348	2.38589482257759	0.2283	5.64928055705667	
D003924	species	39488	[Eubacterium] hallii	Bacteria	343	0.659865197650146	0.12953	1.25238997100911	
D003924	species	46506	Bacteroides stercoris	Bacteria	342	4.51462709249123	0.564808	8.00309761268982	
D003924	species	208479	[Clostridium] bolteae	Bacteria	342	0.708084109114035	0.0468604	3.84437431016456	
D003924	species	823	Parabacteroides distasonis	Bacteria	341	0.714852508164223	0.26217	1.32238053511843	
D003924	species	371601	Bacteroides xylanisolvens	Bacteria	340	0.466330423729412	0.122252	0.877637392912622	
D003924	species	47678	Bacteroides caccae	Bacteria	330	1.78744975588182	0.471875	3.78178524385354	
D003924	species	28117	Alistipes putredinis	Bacteria	327	2.62876754731804	0.84876	3.95468033584281	
D003924	species	39486	Dorea formicigenerans	Bacteria	326	0.350642552312883	0.123952	0.474006218743294	
D003924	species	39491	[Eubacterium] rectale	Bacteria	318	3.35596691911635	0.09470845	6.48651533315623	
D003924	species	46503	Parabacteroides merdae	Bacteria	317	1.37932304880442	0.44589	2.46299001242723	
D003924	species	853	Faecalibacterium prausnitzii	Bacteria	316	5.74348666772152	4.367645	5.63856478151306	
D003924	species	88431	Dorea longicatena	Bacteria	316	0.569796533733544	0.0883008	1.20241173495366	
D003924	species	33038	[Ruminococcus] gnavus	Bacteria	308	0.631446002217532	0.0884931	1.61377513939188	
D003924	species	410072	Coprococcus comes	Bacteria	308	0.506322158376623	0.1814205	0.856744760477377	
D003924	species	817	Bacteroides fragilis	Bacteria	305	1.19183042544262	0.230062	2.65860179039978	
D003924	species	40518	Ruminococcus bromii	Bacteria	305	3.35164514269508	0.547498	5.68716400575954	
D003924	species	39485	[Eubacterium] eligens	Bacteria	304	1.58327400526645	0.2976325	3.34817204834711	
D003924	species	328814	Alistipes shahii	Bacteria	302	0.553151397715232	0.2533485	0.81538305507736	
D003924	species	216816	Bifidobacterium longum	Bacteria	295	1.09378716023051	0.13285	2.99967289529946	
