taxon_id,disease,p_value,auc,auc_effect,mean_health,mean_disease,effect_direction,n_health,n_disease
167,D009765,4.3809156484176237e-35,0.2013,0.29869999999999997,0.0047748536814698,0.0012313313493080417,decreased,500,200
292,D009765,0.8891090259529522,0.5033700000000001,0.003370000000000095,0.0047220513270024396,0.004374373053151508,decreased,500,200
305,D009765,2.111465418153578e-11,0.66189,0.16188999999999998,0.0045135913490400624,0.008408547854025943,increased,500,200
548,D009765,0.11929351406007835,0.46235,0.03765000000000002,0.004746195632717727,0.004191820825144306,decreased,500,200
550,D009765,5.335445938116485e-33,0.21078000000000002,0.28922,0.004749685319801932,0.0012922695583472946,decreased,500,200
562,D009765,0.8409599063395672,0.49515000000000003,0.0048499999999999654,0.004435675141374146,0.004499370953469272,increased,500,200
571,D009765,1.7832448412983738e-07,0.62618,0.12617999999999996,0.004963456418890866,0.008283555597899173,increased,500,200
573,D009765,0.07401086343695998,0.45682,0.043179999999999996,0.004732499953857382,0.00425073501896189,decreased,500,200
582,D009765,8.727555324778078e-30,0.22602,0.27398,0.004473650433630446,0.0013042102309038378,decreased,500,200
584,D009765,0.9071169819117356,0.49718,0.002819999999999989,0.004578526905453109,0.00433087182378787,decreased,500,200
817,D009765,2.4086401637090713e-08,0.63486,0.13485999999999998,0.004526491652060327,0.00746673725145809,increased,500,200
818,D009765,0.2151319833457228,0.47004,0.029959999999999987,0.004605130475478246,0.004084104188096243,decreased,500,200
820,D009765,7.974107997434811e-27,0.24084,0.25916,0.004491984812504467,0.001435170818198122,decreased,500,200
821,D009765,0.039593761437506744,0.45026,0.049740000000000006,0.004450661675020868,0.004157093119743066,decreased,500,200
823,D009765,2.5804703928418172e-08,0.6345700000000001,0.13457000000000008,0.004813794636184261,0.008243462328157198,increased,500,200
849,D009765,0.07407781381833622,0.45683,0.043169999999999986,0.004818299606660471,0.004205123953454202,decreased,500,200
850,D009765,8.367405532719727e-35,0.20256000000000002,0.29744,0.0047704237031492135,0.0012825399193359278,decreased,500,200
851,D009765,0.8480841904002857,0.49537000000000003,0.0046299999999999675,0.004879706558154652,0.004597621630591664,decreased,500,200
852,D009765,6.944394833534422e-13,0.67355,0.17354999999999998,0.004374074974094275,0.008808800214742849,increased,500,200
853,D009765,0.02843820900842322,0.44704,0.05296000000000001,0.004903657770836454,0.004059214092008345,decreased,500,200
